"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 19 13:47:31 GMT 2025","Mon May 19 13:47:44 GMT 2025","12862","","Flight Search","Regression","FlightSearchTests","Search_OneWayTrip_ToAnyDestination","Search_OneWayTrip_ToAnyDestination","Validate that a user can search for a one-way trip with flexible dates and reach the fare-finder results page."
"passed","Mon May 19 13:47:31 GMT 2025","Mon May 19 13:47:43 GMT 2025","11275","","Login","Regression","LoginTests","Login_InvalidCredentials","Login_InvalidCredentials","Validates that a user receives an error message when attempting to log in with invalid credentials."
"passed","Mon May 19 13:47:31 GMT 2025","Mon May 19 13:47:44 GMT 2025","12709","","Login","Regression","LoginTests","Login_Successfully","Login_Successfully","Validates that a user can successfully log into the Ryanair website using valid credentials."
"broken","Mon May 19 13:47:31 GMT 2025","Mon May 19 13:47:53 GMT 2025","21604","","Login","Regression","LoginTests","Login_EmptyCredentials_FailsIncorrectly","Login_EmptyCredentials_FailsIncorrectly","Llogin with empty credentials, expected to fail."
