"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 19 12:23:53 GMT 2025","Mon May 19 12:24:04 GMT 2025","11043","","Flight Search","Regression","FlightSearchTests","Search_OneWayTrip_ToAnyDestination","Search_OneWayTrip_ToAnyDestination","Validate that a user can search for a one-way trip with flexible dates and reach the fare-finder results page."
"passed","Mon May 19 12:23:53 GMT 2025","Mon May 19 12:24:01 GMT 2025","8597","","Login","Regression","LoginTests","Login_InvalidCredentials","Login_InvalidCredentials","Validates that a user receives an error message when attempting to log in with invalid credentials."
"passed","Mon May 19 12:23:53 GMT 2025","Mon May 19 12:24:02 GMT 2025","8852","","Login","Regression","LoginTests","Login_Successfully","Login_Successfully","Validates that a user can successfully log into the Ryanair website using valid credentials."
