"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 18 17:05:33 GMT 2025","Sun May 18 17:05:57 GMT 2025","24254","","Login","Regression","LoginTests","Login_Successfully","Login_Successfully","Validates that a user can successfully log into the Ryanair website using valid credentials."
"passed","Sun May 18 17:05:33 GMT 2025","Sun May 18 17:05:57 GMT 2025","23902","","Login","Regression","LoginTests","Login_InvalidCredentials","Login_InvalidCredentials","Validates that a user receives an error message when attempting to log in with invalid credentials."
"passed","Sun May 18 17:05:33 GMT 2025","Sun May 18 17:05:59 GMT 2025","25960","","Flight Search","Regression","FlightSearchTests","Search_OneWayTrip_ToAnyDestination","Search_OneWayTrip_ToAnyDestination","Validate that a user can search for a one-way trip with flexible dates and reach the fare-finder results page."
