"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 18 09:37:02 GMT 2025","Sun May 18 09:37:07 GMT 2025","5114","","Login","Regression","LoginTests","Login_Successfully","Login_Successfully","Validates that a user can successfully log into the Ryanair website using valid credentials."
"passed","Sun May 18 09:36:42 GMT 2025","Sun May 18 09:37:02 GMT 2025","20025","","Login","Regression","LoginTests","Login_InvalidCredentials","Login_InvalidCredentials","Validates that a user receives an error message when attempting to log in with invalid credentials."
"passed","Sun May 18 09:36:42 GMT 2025","Sun May 18 09:37:04 GMT 2025","21781","","Flight Search","Regression","FlightSearchTests","Search_OneWayTrip_ToAnyDestination","Search_OneWayTrip_ToAnyDestination","Validate that a user can search for a one-way trip with flexible dates and reach the fare-finder results page."
